PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Markus Bailey;LB;CIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;227
Krys Barnes;LB;GB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;228
Mark Barron;LB;PIT;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;229
Daren Bates;LB;TEN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;230
Zack Baun;LB;NO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;231
Kendell Beckwith;LB;TB;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;232
Mike Bell;LB;BUF;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;233
Davin Bellamy;LB;HOU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;234
B.J. Bello;LB;NYJ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;235
Francis Bernard;LB;DAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.00;236
