id,round,lastName,firstName,position,team,keeper,keeperVale
67144,9,Rountree III,Larry,RB,Los Angeles Chargers,False,9
63731,9,Pittman Jr.,Michael,WR,Indianapolis Colts,False,9
48153,9,Lindsay,Phillip,RB,Indianapolis Colts,False,9
1746,9,Brown,Antonio,WR,Tampa Bay Buccaneers,False,9
66932,9,Waddle,Jaylen,WR,Miami Dolphins,False,9
64165,9,Callaway,Marquez,WR,New Orleans Saints,False,9
47400,9,Rodgers,Aaron,QB,Green Bay Packers,False,9
56163,9,Fuller V,William,WR,Miami Dolphins,False,9
60007,9,Kendricks,Eric,LB,Minnesota Vikings,False,9
63896,9,Chinn,Jeremy,DB,Carolina Panthers,False,9
63616,9,Lamb,CeeDee,WR,Dallas Cowboys,True,4
56541,9,James Jr.,Derwin,DB,Los Angeles Chargers,False,9
57184,10,Burns,Brian,DL,Carolina Panthers,False,10
54696,10,Meyers,Jakobi,WR,New England Patriots,False,10
57473,10,Bosa,Nick,DL,San Francisco 49ers,False,10
60178,10,David,Lavonte,LB,Tampa Bay Buccaneers,False,10
60258,10,Donald,Aaron,DL,Los Angeles Rams,False,10
46543,10,Chark,DJ,WR,Detroit Lions,False,10
17934,10,Thomas,Michael,WR,New Orleans Saints,False,10
56133,10,Bush,Devin,LB,Pittsburgh Steelers,False,10
63614,10,Herbert,Justin,QB,Los Angeles Chargers,False,10
31082,10,Tannehill,Ryan,QB,Tennessee Titans,False,10
57243,10,Jordan,Cameron,DL,New Orleans Saints,False,10
36271,10,Bates III,Jessie,DB,Cincinnati Bengals,False,10
59990,11,Hunter,Danielle,DL,Minnesota Vikings,False,11
451,11,Brady,Tom,QB,Tampa Bay Buccaneers,False,11
24492,11,Brown,Jayon,LB,Las Vegas Raiders,False,11
63859,11,Dillon,AJ,RB,Green Bay Packers,False,11
54723,11,McLaurin,Terry,WR,Washington Redskins,True,5
31782,11,Stafford,Matthew,QB,Los Angeles Rams,False,11
56820,11,Sweat,Montez,DL,Washington Redskins,False,11
60048,11,Jones,Deion,LB,Atlanta Falcons,False,11
66972,11,Moore,Elijah,WR,New York Jets,False,11
63812,11,Hurts,Jalen,QB,Philadelphia Eagles,False,11
54674,11,Brown,A.J.,WR,Philadelphia Eagles,True,5
56191,11,Watt,J.J.,DL,Arizona Cardinals,False,11
17906,12,Simmons,Justin,DB,Denver Broncos,False,12
63615,12,Murray Jr.,Kenneth,LB,Los Angeles Chargers,False,12
32234,12,Samuel,Curtis,WR,Washington Redskins,False,12
55753,12,Gesicki,Mike,TE,Miami Dolphins,False,12
36447,12,Hines,Nyheim,RB,Indianapolis Colts,False,12
59625,12,Lawrence,DeMarcus,DL,Dallas Cowboys,False,12
47342,12,Landry,Jarvis,WR,New Orleans Saints,False,12
59342,12,Jack,Myles,LB,Pittsburgh Steelers,False,12
24198,12,Peppers,Jabrill,DB,New England Patriots,False,12
24337,12,Johnson III,John,DB,Cleveland Browns,False,12
63629,12,Aiyuk,Brandon,WR,San Francisco 49ers,True,6
56921,12,Jones Jr.,Marvin,WR,Jacksonville Jaguars,False,12
55928,13,Brown,Marquise,WR,Arizona Cardinals,False,13
57251,13,Davis,Demario,LB,New Orleans Saints,False,13
63622,13,Jefferson,Justin,WR,Minnesota Vikings,True,6
